name,type,value,date
北京,BeiJing,24733,2010
北京,BeiJing,25166,2011
北京,BeiJing,30158,2012
北京,BeiJing,40342,2013
北京,BeiJing,37294,2014
北京,BeiJing,39437,2015
北京,BeiJing,57597,2016
北京,BeiJing,57768,2017
北京,BeiJing,59868,2018
北京,BeiJing,60129,2019
成都,ChengDu,8035,2010
成都,ChengDu,8477,2011
成都,ChengDu,8450,2012
成都,ChengDu,8597,2013
成都,ChengDu,8277,2014
成都,ChengDu,8213,2015
成都,ChengDu,8591,2016
成都,ChengDu,12034,2017
成都,ChengDu,13173,2018
成都,ChengDu,13534,2019
大连,DaLian,10934,2010
大连,DaLian,11115,2011
大连,DaLian,10540,2012
大连,DaLian,10972,2013
大连,DaLian,10182,2014
大连,DaLian,9816,2015
大连,DaLian,9854,2016
大连,DaLian,10495,2017
大连,DaLian,11893,2018
大连,DaLian,12816,2019
广州,GuangZhou,12944,2010
广州,GuangZhou,14762,2011
广州,GuangZhou,16555,2012
广州,GuangZhou,19208,2013
广州,GuangZhou,18564,2014
广州,GuangZhou,20016,2015
广州,GuangZhou,22926,2016
广州,GuangZhou,28578,2017
广州,GuangZhou,32088,2018
广州,GuangZhou,32062,2019
杭州,HangZhou,21858,2010
杭州,HangZhou,19721,2011
杭州,HangZhou,18713,2012
杭州,HangZhou,19131,2013
杭州,HangZhou,16984,2014
杭州,HangZhou,16080,2015
杭州,HangZhou,21655,2016
杭州,HangZhou,28540,2017
杭州,HangZhou,28651,2018
杭州,HangZhou,28367,2019
济南,JiNan,7940,2010
济南,JiNan,8576,2011
济南,JiNan,8485,2012
济南,JiNan,9158,2013
济南,JiNan,9341,2014
济南,JiNan,9281,2015
济南,JiNan,11667,2016
济南,JiNan,15842,2017
济南,JiNan,17674,2018
济南,JiNan,17349,2019
南京,NanJing,14107,2010
南京,NanJing,14442,2011
南京,NanJing,14750,2012
南京,NanJing,17313,2013
南京,NanJing,18099,2014
南京,NanJing,18697,2015
南京,NanJing,24867,2016
南京,NanJing,25733,2017
南京,NanJing,27568,2018
南京,NanJing,28830,2019
青岛,QingDao,15651,2010
青岛,QingDao,12752,2011
青岛,QingDao,11743,2012
青岛,QingDao,12822,2013
青岛,QingDao,12286,2014
青岛,QingDao,12384,2015
青岛,QingDao,13523,2016
青岛,QingDao,18142,2017
青岛,QingDao,18788,2018
青岛,QingDao,18057,2019
上海,ShangHai,22491,2010
上海,ShangHai,22665,2011
上海,ShangHai,23428,2012
上海,ShangHai,29978,2013
上海,ShangHai,30522,2014
上海,ShangHai,35237,2015
上海,ShangHai,52142,2016
上海,ShangHai,50017,2017
上海,ShangHai,49446,2018
上海,ShangHai,50104,2019
深圳,ShenZhen,16645,2010
深圳,ShenZhen,17428,2011
深圳,ShenZhen,19298,2012
深圳,ShenZhen,24910,2013
深圳,ShenZhen,28117,2014
深圳,ShenZhen,41494,2015
深圳,ShenZhen,43289,2016
深圳,ShenZhen,51477,2017
深圳,ShenZhen,53205,2018
深圳,ShenZhen,53836,2019
石家庄,ShiJiaZhuang,6458,2010
石家庄,ShiJiaZhuang,7307,2011
石家庄,ShiJiaZhuang,7723,2012
石家庄,ShiJiaZhuang,8639,2013
石家庄,ShiJiaZhuang,8800,2014
石家庄,ShiJiaZhuang,8986,2015
石家庄,ShiJiaZhuang,14878,2016
石家庄,ShiJiaZhuang,16979,2017
石家庄,ShiJiaZhuang,15596,2018
石家庄,ShiJiaZhuang,15825,2019
苏州,SuZhou,8943,2010
苏州,SuZhou,10000,2011
苏州,SuZhou,10089,2012
苏州,SuZhou,10941,2013
苏州,SuZhou,10980,2014
苏州,SuZhou,12251,2015
苏州,SuZhou,16181,2016
苏州,SuZhou,15320,2017
苏州,SuZhou,16943,2018
苏州,SuZhou,18320,2019
天津,TianJing,12396,2010
天津,TianJing,12732,2011
天津,TianJing,12793,2012
天津,TianJing,14519,2013
天津,TianJing,14961,2014
天津,TianJing,15553,2015
天津,TianJing,23220,2016
天津,TianJing,22205,2017
天津,TianJing,22188,2018
天津,TianJing,22271,2019
武汉,WuHan,6905,2010
武汉,WuHan,7854,2011
武汉,WuHan,7998,2012
武汉,WuHan,8825,2013
武汉,WuHan,9239,2014
武汉,WuHan,10000,2015
武汉,WuHan,13875,2016
武汉,WuHan,16259,2017
武汉,WuHan,17586,2018
武汉,WuHan,17219,2019